steps,total reward,episodes
10000,6.0,175
20000,19.0,402
30000,21.0,657
40000,39.0,906
50000,26.0,1119
60000,67.0,1395
70000,72.0,1675
80000,91.0,1951
90000,28.0,2186
100000,64.0,2456
