episodes,total reward,steps
178,32.0,10000
338,57.0,20000
499,58.0,30000
689,67.0,40000
869,54.0,50000
1053,62.0,60000
1302,129.0,70000
1530,95.0,80000
1814,159.0,90000
2058,105.0,100000
