episodes,total reward,steps
240,1.0,10000
387,4.0,20000
515,13.0,30000
660,27.0,40000
810,55.0,50000
1008,89.0,60000
1237,110.0,70000
1454,124.0,80000
1684,130.0,90000
1930,143.0,100000
