total reward,episodes,steps
21.0,169,10000
36.0,292,20000
38.0,405,30000
66.0,542,40000
76.0,706,50000
68.0,837,60000
73.0,988,70000
96.0,1142,80000
127.0,1337,90000
165.0,1566,100000
