episodes,total reward,steps
112,-1.1200000000000008,10000
186,-0.7400000000000004,20000
256,-0.7000000000000004,30000
331,-0.7500000000000004,40000
380,-0.49000000000000027,50000
431,-0.5100000000000002,60000
487,-0.5600000000000003,70000
556,-0.6900000000000004,80000
613,-0.5700000000000003,90000
681,-0.6800000000000004,100000
