steps,total reward,episodes
10000,8.0,254
20000,6.0,384
30000,15.0,540
40000,14.0,697
50000,19.0,855
60000,20.0,1034
70000,26.0,1183
80000,29.0,1330
90000,41.0,1500
100000,66.0,1693
