total reward,steps,episodes
5.0,10000,135
56.0,20000,305
105.0,30000,528
69.0,40000,721
107.0,50000,950
68.0,60000,1132
120.0,70000,1355
122.0,80000,1572
79.0,90000,1778
81.0,100000,1979
