total reward,episodes,steps
11.0,194,10000
10.0,403,20000
17.0,691,30000
57.0,979,40000
34.0,1241,50000
77.0,1554,60000
27.0,1813,70000
38.0,2063,80000
60.0,2341,90000
45.0,2591,100000
