episodes,steps,total reward
165,10000,19.0
376,20000,65.0
594,30000,60.0
844,40000,80.0
1157,50000,156.0
1399,60000,112.0
1638,70000,117.0
1885,80000,103.0
2154,90000,111.0
2379,100000,90.0
