steps,episodes,total reward
10000,158,3.0
20000,310,4.0
30000,443,8.0
40000,587,3.0
50000,748,14.0
60000,915,15.0
70000,1047,12.0
80000,1192,23.0
90000,1350,15.0
100000,1478,13.0
