total reward,steps,episodes
10.0,10000,265
6.0,20000,448
11.0,30000,616
25.0,40000,802
24.0,50000,1010
25.0,60000,1219
26.0,70000,1415
33.0,80000,1606
12.0,90000,1787
27.0,100000,1978
