total reward,episodes,steps
33.0,212,10000
38.0,358,20000
43.0,498,30000
48.0,639,40000
52.0,775,50000
61.0,926,60000
54.0,1064,70000
47.0,1213,80000
69.0,1358,90000
50.0,1519,100000
