episodes,steps,total reward
80,10000,8.0
368,20000,199.0
825,30000,356.0
1278,40000,368.0
1729,50000,368.0
2193,60000,358.0
2645,70000,357.0
3112,80000,362.0
3571,90000,357.0
4030,100000,375.0
