episodes,steps,total reward
239,10000,0.0
380,20000,8.0
514,30000,13.0
661,40000,14.0
758,50000,16.0
890,60000,28.0
1014,70000,30.0
1120,80000,30.0
1292,90000,69.0
1508,100000,103.0
