steps,episodes,total reward
10000,130,2.0
20000,283,74.0
30000,474,129.0
40000,698,139.0
50000,947,158.0
60000,1154,131.0
70000,1360,135.0
80000,1585,155.0
90000,1792,131.0
100000,2036,166.0
