episodes,steps,total reward
237,10000,21.0
460,20000,16.0
682,30000,20.0
918,40000,24.0
1098,50000,17.0
1316,60000,11.0
1547,70000,26.0
1771,80000,24.0
1970,90000,16.0
2223,100000,25.0
