episodes,total reward,steps
141,7.0,10000
355,143.0,20000
711,278.0,30000
1087,288.0,40000
1442,281.0,50000
1780,257.0,60000
2140,278.0,70000
2464,253.0,80000
2840,286.0,90000
3236,322.0,100000
