episodes,total reward,steps
92,13.0,10000
368,211.0,20000
793,334.0,30000
1225,346.0,40000
1651,339.0,50000
2085,343.0,60000
2514,339.0,70000
2943,345.0,80000
3361,340.0,90000
3791,351.0,100000
