steps,episodes,total reward
10000,184,56.0
20000,414,102.0
30000,632,92.0
40000,886,133.0
50000,1125,115.0
60000,1396,113.0
70000,1714,159.0
80000,1957,126.0
90000,2237,144.0
100000,2466,101.0
