total reward,steps,episodes
0.0,10000,184
0.0,20000,314
0.0,30000,457
0.0,40000,572
2.0,50000,699
7.0,60000,828
9.0,70000,935
14.0,80000,1048
17.0,90000,1164
18.0,100000,1275
