total reward,episodes,steps
0.0,130,10000
7.0,237,20000
147.0,470,30000
221.0,784,40000
232.0,1108,50000
228.0,1415,60000
251.0,1750,70000
235.0,2062,80000
237.0,2379,90000
246.0,2700,100000
