episodes,total reward,steps
90,28.0,10000
226,79.0,20000
617,304.0,30000
1045,347.0,40000
1524,393.0,50000
2011,393.0,60000
2495,387.0,70000
2984,395.0,80000
3466,383.0,90000
3935,392.0,100000
