steps,total reward,episodes
10000,17.0,176
20000,74.0,401
30000,78.0,627
40000,109.0,924
50000,98.0,1186
60000,101.0,1436
70000,110.0,1711
80000,98.0,1991
90000,91.0,2247
100000,76.0,2485
