total reward,episodes,steps
5.0,147,10000
5.0,313,20000
2.0,483,30000
6.0,651,40000
5.0,795,50000
13.0,958,60000
17.0,1100,70000
13.0,1255,80000
18.0,1430,90000
18.0,1563,100000
