episodes,total reward,steps
159,13.0,10000
384,94.0,20000
670,145.0,30000
949,150.0,40000
1244,192.0,50000
1543,196.0,60000
1837,199.0,70000
2138,194.0,80000
2454,190.0,90000
2783,224.0,100000
