total reward,episodes,steps
20.0,185,10000
13.0,375,20000
30.0,562,30000
24.0,772,40000
49.0,1045,50000
69.0,1298,60000
55.0,1519,70000
51.0,1765,80000
59.0,2075,90000
38.0,2294,100000
