episodes,steps,total reward
141,10000,4.0
304,20000,78.0
613,30000,228.0
1014,40000,335.0
1425,50000,337.0
1832,60000,336.0
2250,70000,328.0
2653,80000,337.0
3064,90000,342.0
3484,100000,347.0
