total reward,steps,episodes
57.0,10000,185
78.0,20000,406
85.0,30000,650
104.0,40000,946
85.0,50000,1198
68.0,60000,1438
107.0,70000,1705
82.0,80000,1969
126.0,90000,2303
108.0,100000,2589
