steps,episodes,total reward
10000,130,0.0
20000,223,6.0
30000,451,145.0
40000,767,230.0
50000,1086,235.0
60000,1421,231.0
70000,1739,230.0
80000,2066,238.0
90000,2387,238.0
100000,2704,239.0
