steps,total reward,episodes
10000,4.0,132
20000,89.0,316
30000,209.0,599
40000,331.0,1014
50000,342.0,1447
60000,355.0,1871
70000,344.0,2278
80000,348.0,2689
90000,345.0,3116
100000,351.0,3534
