episodes,steps,total reward
172,10000,62.0
382,20000,72.0
642,30000,95.0
882,40000,105.0
1123,50000,98.0
1405,60000,124.0
1646,70000,118.0
1918,80000,121.0
2176,90000,107.0
2458,100000,101.0
