total reward,episodes,steps
39.0,157,10000
61.0,334,20000
59.0,501,30000
70.0,700,40000
75.0,900,50000
48.0,1081,60000
80.0,1306,70000
53.0,1494,80000
64.0,1704,90000
86.0,1935,100000
