episodes,steps,total reward
185,10000,3.0
427,20000,9.0
666,30000,29.0
937,40000,37.0
1162,50000,30.0
1462,60000,57.0
1757,70000,65.0
2083,80000,69.0
2336,90000,47.0
2547,100000,36.0
