total reward,episodes,steps
34.0,205,10000
33.0,464,20000
57.0,790,30000
50.0,1107,40000
83.0,1512,50000
63.0,1812,60000
72.0,2188,70000
28.0,2443,80000
68.0,2797,90000
79.0,3176,100000
