episodes,total reward,steps
96,9.0,10000
316,143.0,20000
659,262.0,30000
1014,257.0,40000
1367,265.0,50000
1724,258.0,60000
2084,265.0,70000
2446,261.0,80000
2800,256.0,90000
3154,268.0,100000
