steps,episodes,total reward
10000,195,55.0
20000,423,79.0
30000,727,120.0
40000,1054,98.0
50000,1430,136.0
60000,1723,89.0
70000,2025,109.0
80000,2395,128.0
90000,2728,107.0
100000,3128,131.0
