steps,total reward,episodes
10000,0.0,80
20000,2.0,140
30000,31.0,207
40000,190.0,496
50000,214.0,801
60000,255.0,1144
70000,267.0,1497
80000,264.0,1855
90000,248.0,2212
100000,260.0,2577
