episodes,steps,total reward
134,10000,0.0
233,20000,4.0
428,30000,98.0
737,40000,226.0
1061,50000,222.0
1378,60000,246.0
1699,70000,242.0
2012,80000,234.0
2334,90000,253.0
2660,100000,238.0
