episodes,total reward,steps
165,12.0,10000
401,17.0,20000
636,37.0,30000
858,30.0,40000
1044,31.0,50000
1269,42.0,60000
1489,33.0,70000
1703,35.0,80000
1864,35.0,90000
2065,36.0,100000
