episodes,total reward,steps
200,45.0,10000
362,50.0,20000
500,42.0,30000
641,37.0,40000
800,41.0,50000
942,35.0,60000
1086,40.0,70000
1266,70.0,80000
1426,57.0,90000
1594,56.0,100000
