episodes,steps,total reward
119,10000,7.0
246,20000,21.0
386,30000,25.0
510,40000,25.0
783,50000,139.0
988,60000,73.0
1193,70000,108.0
1415,80000,109.0
1673,90000,136.0
1948,100000,158.0
