episodes,steps,total reward
179,10000,11.0
384,20000,17.0
592,30000,30.0
801,40000,21.0
998,50000,14.0
1199,60000,23.0
1386,70000,31.0
1604,80000,20.0
1810,90000,18.0
1984,100000,14.0
