episodes,total reward,steps
196,22.0,10000
334,37.0,20000
472,40.0,30000
593,53.0,40000
737,62.0,50000
874,59.0,60000
1030,65.0,70000
1162,76.0,80000
1330,100.0,90000
1505,103.0,100000
