steps,episodes,total reward
10000,188,9.0
20000,420,7.0
30000,698,19.0
40000,949,35.0
50000,1224,36.0
60000,1524,60.0
70000,1867,76.0
80000,2206,75.0
90000,2536,100.0
100000,2814,67.0
