episodes,total reward,steps
237,0.0,10000
390,10.0,20000
510,13.0,30000
629,10.0,40000
749,20.0,50000
874,20.0,60000
1036,34.0,70000
1164,33.0,80000
1333,58.0,90000
1482,68.0,100000
