steps,episodes,total reward
10000,222,1.0
20000,369,2.0
30000,504,1.0
40000,645,5.0
50000,797,2.0
60000,933,6.0
70000,1072,6.0
80000,1199,6.0
90000,1329,13.0
100000,1450,9.0
