steps,episodes,total reward
10000,206,0.0
20000,337,0.0
30000,472,0.0
40000,586,1.0
50000,708,5.0
60000,833,5.0
70000,929,4.0
80000,1034,6.0
90000,1146,5.0
100000,1259,5.0
