total reward,episodes,steps
0.0,232,10000
7.0,402,20000
16.0,540,30000
12.0,655,40000
14.0,780,50000
26.0,901,60000
31.0,1030,70000
33.0,1163,80000
55.0,1306,90000
81.0,1499,100000
