episodes,steps,total reward
134,10000,31.0
350,20000,86.0
694,30000,226.0
1022,40000,213.0
1406,50000,271.0
1736,60000,231.0
2116,70000,290.0
2471,80000,253.0
2836,90000,256.0
3191,100000,263.0
