episodes,steps,total reward
95,10000,2.0
158,20000,4.0
321,30000,105.0
737,40000,328.0
1179,50000,347.0
1618,60000,368.0
2068,70000,373.0
2518,80000,364.0
2981,90000,357.0
3422,100000,374.0
