steps,episodes,total reward
10000,290,41.0
20000,500,22.0
30000,711,15.0
40000,909,12.0
50000,1106,28.0
60000,1348,23.0
70000,1571,14.0
80000,1799,18.0
90000,2044,15.0
100000,2275,22.0
